depth	min	max	median	wmean
467.5	8971.9	9764.5	9417.1	9404.7
468.5	9036.5	9778	9440.8	9431.2
469.5	9098.7	9790.1	9463.2	9457.3
470.5	9158.9	9798.9	9486.5	9483.5
471.5	9213.7	9810.8	9508.3	9509.8
472.5	9271.8	9823.5	9531.5	9536.2
473.5	9331.5	9841.3	9552.5	9562.4
474.5	9387.4	9856.1	9574.5	9588.7
475.5	9440.3	9879.6	9597.2	9615
476.5	9489	9912.4	9618.8	9640.7
477.5	9518.5	9942.4	9643.2	9667.4
478.5	9535.4	9969.8	9673	9693.4
479.5	9549.4	9998	9701.5	9719.6
480.5	9567.4	10029.5	9727.4	9745.6
481.5	9586.8	10046	9753.6	9771.2
482.5	9600.7	10070.2	9783.5	9797.3
483.5	9612.9	10096.3	9810.2	9823.2
484.5	9630.9	10129.7	9837.5	9849.6
485.5	9639.2	10158.6	9863.9	9875.5
486.5	9651.7	10194.5	9890.7	9901.7
487.5	9656.5	10237.6	9917.1	9928
488.5	9669.5	10284.1	9942	9954.2
489.5	9673.9	10334.5	9967.6	9980
490.5	9680.9	10389.1	9991	10006.4
491.5	9686.6	10437.6	10015.8	10032.3
492.5	9689.9	10490.2	10041.2	10058.1
493.5	9697.2	10547.4	10065.6	10084.5
494.5	9701.5	10605.4	10089.7	10110.8
495.5	9707.2	10667.4	10113.8	10136.6
496.5	9711	10726.4	10137.4	10162.2
497.5	9716.2	10787.1	10161.7	10188
498.5	9721.1	10848.5	10187.2	10214.7
499.5	9722.4	10912.6	10213.8	10240.4
500.5	9742	10947.5	10238.7	10266.1
501.5	9772.3	10958	10265.8	10291.3
502.5	9794.3	10969.2	10294.9	10316.1
503.5	9817.3	10975.1	10322.2	10341.2
504.5	9837	10988.7	10353	10366.1
505.5	9854.8	10990.9	10381.9	10391.5
506.5	9870.5	11007.2	10408.9	10416.5
507.5	9886.1	11014.2	10439.6	10441.6
508.5	9903.3	11022.4	10471.6	10467.2
509.5	9917.6	11033.2	10503.2	10492.6
510.5	9932.7	11049.8	10535.8	10518.1
511.5	9947.9	11062.1	10568.1	10543.2
512.5	9963.9	11072.9	10597.3	10568.2
513.5	9974.9	11088.3	10625.3	10593.4
514.5	9989.9	11101.8	10652.1	10618.2
515.5	10002.4	11120.7	10681	10643.9
516.5	10014	11140.7	10709.7	10669.4
517.5	10022.5	11162.1	10737.2	10694.5
518.5	10034.5	11190	10762.6	10719.8
519.5	10046.6	11223.8	10785.6	10745
520.5	10071.8	11243.4	10809.3	10769.8
521.5	10136.4	11245.3	10834.1	10796
522.5	10196.7	11247.6	10855.5	10822.1
523.5	10256.1	11252.7	10878.3	10847.7
524.5	10319.3	11255	10902.5	10873.8
525.5	10377.5	11257.8	10925.5	10899.7
526.5	10439.9	11264	10949.9	10925.7
527.5	10501.8	11271.1	10972.7	10951.8
528.5	10562.1	11277.2	10998.9	10978.1
529.5	10616.9	11281.9	11024.2	11004.4
530.5	10666.6	11286.8	11049.8	11030.2
531.5	10721.6	11291.2	11075.1	11056.7
532.5	10760.4	11296.2	11098.9	11082.3
533.5	10798.7	11304.4	11124.9	11109
534.5	10834.4	11311.8	11148.4	11134.9
535.5	10863.9	11317.1	11175	11161.1
536.5	10888.2	11329.6	11202	11187.4
537.5	10916.1	11349.4	11229.7	11213.1
538.5	10930.7	11373.6	11258.5	11239.1
539.5	10955.6	11404.3	11285.2	11265
540.5	10995.8	11428.9	11311.1	11293.4
541.5	11045.1	11458.6	11337.2	11324
542.5	11090.1	11493.1	11363	11354.5
543.5	11128.4	11538.4	11389.8	11385.1
544.5	11168.4	11588.6	11415.1	11415.3
545.5	11204.1	11638.9	11442.2	11446.3
546.5	11237.2	11691.6	11470.9	11476.7
547.5	11268.4	11745.2	11498.5	11507.2
548.5	11290	11801.6	11528.7	11537.6
549.5	11307.9	11852	11558.3	11568.2
550.5	11322.1	11905.4	11587.2	11598.7
551.5	11334.8	11959.6	11617.1	11628.7
552.5	11343.6	12017.5	11646.9	11658.9
553.5	11349.1	12074.9	11676.9	11689.7
554.5	11361.4	12127.8	11705.8	11719.4
555.5	11367.4	12184	11733.4	11749.4
556.5	11375	12243.6	11762.5	11779.8
557.5	11380.9	12301.8	11792.1	11810
558.5	11388.4	12365	11820.1	11839.9
559.5	11391	12426.1	11850.2	11870.4
560.5	11416.8	12463.1	11877.8	11899
561.5	11466.5	12474.4	11908	11928.3
562.5	11508	12478.9	11936.9	11956.3
563.5	11546.2	12493.2	11965.8	11985.4
564.5	11577.4	12501.5	11996.3	12014
565.5	11610.7	12510.4	12028.1	12042.5
566.5	11641.6	12522.5	12060.6	12071.6
567.5	11665.3	12532	12094.4	12101.1
